,cv,n_comp,feature_enc,rmse_train,rmse_test,r2_train,r2_test
0,0,5,NMF,511.3356722049191,531.1244788927847,0.04940090905042904,0.046757126865098586
1,0,5,AA,516.2184449681334,750.6897645069295,0.0403235854793782,-0.3473106520025415
2,0,5,SVD,512.4576263940808,530.704078325023,0.04731513899706041,0.0475116464946892
3,0,5,SC,511.88493961343636,530.2636983561329,0.048379792927289667,0.04830202442584963
4,0,10,NMF,474.6072678871965,504.3741366182789,0.11768088569650104,0.0947676670312193
5,0,10,AA,501.48607680446986,588.9661728382873,0.06771180919458297,-0.057055039048517164
6,0,10,SVD,482.32957032089934,513.0176368064064,0.10332473166198697,0.07925462765775837
7,0,10,SC,484.84694636199083,515.1061399285458,0.09864480122427488,0.07550625830967328
8,0,25,NMF,408.27538992305466,418.08324258800747,0.2409952295242903,0.24963942124272098
9,0,25,AA,477.285397597254,5.055912406748874e+27,0.11270210599030939,-9.0741674700717e+24
10,0,25,SVD,401.95825132908715,406.2094248080261,0.25273911232232316,0.2709501169938663
11,0,25,SC,400.89854618463056,405.1270145368697,0.2547091582271027,0.27289278753117385
12,0,50,NMF,333.97250623931865,341.3206112149952,0.37912807947805816,0.3874101966209288
13,0,50,AA,422.78404341487186,621.4028939407367,0.21402290279270908,-0.11527128485822313
14,0,50,SVD,336.82684254410316,342.85407871767495,0.3738217227263526,0.384657984990313
15,0,50,SC,335.55569438449254,341.0558479753937,0.3761848519791535,0.38788538404167117
16,0,75,NMF,311.76860807497957,325.85670653307926,0.4204062584862672,0.4151642496060285
17,0,75,AA,411.1033323798627,1.5474771344576537e+29,0.23573794028196626,-2.7773556075519403e+26
18,0,75,SVD,310.8486549533216,320.3512829211571,0.4221164982538026,0.42504518341761577
19,0,75,SC,308.5017304690318,317.2526993646965,0.42647955055499054,0.43060640834584074
20,0,100,NMF,304.03936760614533,323.9230489546677,0.434775310681906,0.41863470781113066
21,0,100,AA,387.21186210579947,2.0550532647065852e+27,0.2801534019023939,-3.6883347620842944e+24
22,0,100,SVD,300.65261262103746,316.60564315471095,0.4410714609118126,0.43176772126813767
23,0,100,SC,300.3351049906397,314.72847273871236,0.4416617237884942,0.4351367983711939
24,0,200,NMF,269.6220963586893,289.28434876057133,0.4987587730906954,0.4808029855066204
25,0,200,AA,335.9580733970255,6709.281750312805,0.37543680887494046,-11.041574558326428
26,0,200,SVD,269.00500092647746,286.4902818999848,0.4999059849688735,0.4858176749584583
27,0,200,SC,269.1036095983858,287.1485446578786,0.49972266641910046,0.48463624893207646
28,1,5,NMF,516.3027763699617,514.2990719381814,0.04708033000420497,0.050921548815484496
29,1,5,AA,530.9724641813368,535.1229910693087,0.020005065822127355,0.012493455134348297
30,1,5,SVD,517.6364211804511,513.1088584914977,0.04461887437997181,0.05311794775180889
31,1,5,SC,517.0991365641013,512.5400640633903,0.04561051940443894,0.054167590973672075
32,1,10,NMF,485.5726117901236,465.9477228124301,0.10379778269005424,0.14014827708472355
33,1,10,AA,528.3387320382402,542.3112523791269,0.024866041357263002,-0.0007716357104039506
34,1,10,SVD,492.3746280952123,478.1746936693565,0.09124356948530743,0.11758484036717731
35,1,10,SC,493.9827192043738,480.37934704491687,0.08827557915250461,0.11351641184913575
36,1,25,NMF,408.86525596728626,402.8128846219296,0.24537352379079647,0.2566561957551028
37,1,25,AA,479.1356911353716,9.843814106825075e+24,0.11567815325331476,-1.8165601215350428e+22
38,1,25,SVD,398.36229072969144,391.18515665993783,0.2647584324650324,0.2781138001862625
39,1,25,SC,397.81792027905266,390.7716768580948,0.2657631555343627,0.2788768285317159
40,1,50,NMF,336.4973941137242,334.32731126727066,0.3789400320335937,0.38303826687759546
41,1,50,AA,423.4036756292906,1.4612524915357142e+29,0.21854053605444856,-2.6965696170319512e+26
42,1,50,SVD,338.8921741900652,338.24176111399726,0.37452008090316613,0.3758146100590639
43,1,50,SC,336.6117585973558,337.91441552690605,0.37872895401699336,0.37641868784133126
44,1,75,NMF,314.9406731341813,310.6317862176073,0.4187264216913129,0.42676557155537154
45,1,75,AA,403.04595752582856,644.1800019337053,0.25611397339563713,-0.18875843235580736
46,1,75,SVD,315.64867582944277,318.63983493882193,0.41741968904217186,0.41198765945707005
47,1,75,SC,313.41441479359844,314.8323274777372,0.4215433765108514,0.41901396668026136
48,1,100,NMF,301.66145434348044,309.6713840883613,0.4432353520457164,0.4285378807331892
49,1,100,AA,388.98475151418285,1014.5246990230448,0.28206618672008965,-0.8721860150526655
